Age,Country,Party,EPG,Vote
47,Poland,Independent,EPP,2
52,Bulgaria,Citizens for European Development of Bulgaria,EPP,2
57,Italy,Lega,IDG,1
68,Bulgaria,Union of Democratic Forces,EPP,2
39,Bulgaria,Movement for Rights and Freedoms,REG,2
67,Portugal,Partido Social Democrata,EPP,2
52,Germany,Alternative für Deutschland,IDG,2
60,France,Parti Socialiste,S&D,1
36,France,Rassemblement national,IDG,1
62,Belgium,Vlaams Belang,IDG,3
64,Estonia,Eesti Reformierakond,REG,2
67,Hungary,Demokratikus Koalíció,S&D,2
54,Belgium,Parti Socialiste,S&D,1
50,Spain,Partido Popular,EPP,2
49,Poland,Platforma Obywatelska,EPP,2
47,Romania,Uniunea Salvați România,REG,2
53,Greece,Nea Demokratia,EPP,2
31,France,La France Insoumise,The Left,1
57,Lithuania,Lietuvos Respublikos liberalų sąjūdis,REG,2
54,Romania,Partidul Social Democrat,S&D,2
44,Netherlands,Volkspartij voor Vrijheid en Democratie,REG,2
47,Poland,,S&D,2
25,France,Rassemblement national,IDG,1
64,Italy,Partito Democratico,S&D,2
50,Spain,Ciudadanos – Partido de la Ciudadanía,REG,2
50,Germany,Freie Demokratische Partei,REG,2
40,France,Rassemblement national,IDG,1
35,France,Les Républicains,EPP,2
45,Romania,Partidul Social Democrat,S&D,2
34,Italy,Partito Democratico,S&D,1
52,Slovakia,SMER-Sociálna demokracia,S&D,2
55,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,2
50,France,La République en marche,REG,2
45,Slovakia,SPOLU – občianska demokracia,EPP,2
67,France,Rassemblement national,IDG,1
48,Italy,Lega,IDG,1
64,Romania,Partidul Naţional Liberal,EPP,2
42,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
57,Slovenia,Slovenska ljudska stranka,EPP,2
47,Italy,Partito Democratico,S&D,2
40,Belgium,Parti du Travail de Belgique,The Left,3
34,Romania,Uniunea Salvați România,REG,2
69,Belgium,Nieuw-Vlaamse Alliantie,ECR,2
43,Germany,Piratenpartei Deutschland,Greens/EFA,1
53,Slovenia,Socialni demokrati,S&D,1
64,France,Rassemblement national,IDG,1
61,France,Mouvement Démocrate,REG,2
37,Germany,Alternative für Deutschland,IDG,2
45,Spain,Vox,ECR,2
51,Spain,Ciudadanos – Partido de la Ciudadanía,REG,2
46,France,Liste Renaissance,REG,3
65,Portugal,Partido Social Democrata,EPP,2
44,Germany,Christlich Demokratische Union Deutschlands,EPP,2
31,Portugal,Partido Socialista,S&D,2
35,Netherlands,Partij van de Arbeid,S&D,2
38,France,La France Insoumise,The Left,1
45,Czech Republic,Ano 2011,REG,2
56,Belgium,Mouvement Réformateur,REG,2
57,Cyprus,Democratic Rally,EPP,2
70,Poland,Sojusz Lewicy Demokratycznej - Unia Pracy,S&D,1
51,Romania,Uniunea Salvați România,REG,2
51,Romania,Partidul Social Democrat,S&D,2
36,Italy,Independent,Greens/EFA,1
32,Hungary,Momentum,REG,2
31,Malta,Partit Laburista,S&D,3
62,Netherlands,ChristenUnie,EPP,3
38,Sweden,Arbetarepartiet- Socialdemokraterna,S&D,2
67,Italy,Lega,IDG,1
62,Italy,Partito Democratico,S&D,2
36,France,Liste Renaissance,REG,2
43,France,Europe Écologie,Greens/EFA,1
43,Hungary,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,NI,2
41,France,Europe Écologie,Greens/EFA,1
57,Belgium,Groen,Greens/EFA,1
44,Czech Republic,Ano 2011,REG,2
48,Hungary,Demokratikus Koalíció,S&D,1
32,Germany,Christlich-Soziale Union in Bayern e.V.,EPP,2
